no	effector	l1	l2	p.value
"378"	"hopT"	-62.52055	-60.387411	4.266278	0.371166836794911
"379"	"hopU"	-41.658934	-41.002451	1.312966	0.85917184905742
"380"	"hopV"	-58.191609	-54.766108	6.851002	0.143974726156836
"381"	"hopW"	-71.067845	-68.808843	4.518004	0.340418006214485
"382"	"hopX"	-105.17302	-104.577066	1.191908	0.879429107559872
"383"	"hopY"	-37.673973	-37.602248	0.14345	0.997547512162801
"384"	"hopZ"	-96.858463	-93.729207	6.258512	0.180656334938405
"385"	"avrA"	-54.343394	-51.646538	5.393712	0.249231456199644
"386"	"avrB"	-91.525608	-87.144364	8.762488	0.0673182149578106
"387"	"avrD1"	-82.054192	-78.005557	8.09727	0.0880793566914361
